org_company_name;org_domain;org_category_list;org_category_group_list;org_uuid
BeFunky;befunky.com;iOS,Mobile,Photo Sharing,Photography;Content and Publishing,Media and Entertainment,Mobile,Platforms,Software;0023affb-ca57-dad8-0d79-655bac1c15a8
SpeedDate;speeddate.com;Messaging,Photography,Real Time;Content and Publishing,Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications;002c5c33-6708-b407-2a3c-9222397590e6
Innovator;nov8r.com;Software;Software;002ed87f-e9be-90ee-1566-af8744ea6bed
Sharefam.com;sharefam.com;Blogging Platforms,Content,Parenting,Photography,SNS;Community and Lifestyle,Content and Publishing,Media and Entertainment,Software;00413aa2-5aca-5dda-532a-084d47605713
Infamous Robotics;infamousrobotics.com;EdTech,Education,Robotics;Education,Hardware,Science and Engineering,Software;0050673d-14cd-ae6c-74ab-146b0e73f5f7
S7 Media Design;s7mediadesign.com;Web Design,Web Development;Design,Software;0090aebf-66f6-b6ca-481f-548210805cd4
MediaVue Systems;mediavuesystems.com;Digital Signage,Network Hardware;Hardware,Sales and Marketing;0095a0de-5966-4297-9e2f-d9425e84bad8
Riskonnect;riskonnect.com;Enterprise Software,Government,Risk Management;Government and Military,Software;00a01bda-d4df-7ded-7b78-e078560a2c2e
Syncplicity;syncplicity.com;Aerospace,Cloud Storage,Enterprise Software,Information Technology,Manufacturing,Software;Information Technology,Internet Services,Manufacturing,Science and Engineering,Software;00aeda87-2991-b0ee-7221-07ea0763f88d
Nakkeb;nakkeb.com;Big Data,Data Mining,Vertical Search;Data and Analytics,Information Technology,Internet Services;00db7526-12f0-e858-57d5-5abb5453ceb6
digitalbucket.net;digitalbucket.net;Collaboration,File Sharing,Web Hosting;Internet Services,Software;01322816-b16a-6cc1-9208-14ccbfc21c3e
clipsync;clipsync.com;Content,Video,Web Hosting;Internet Services,Media and Entertainment,Video;0149840d-0f78-689d-8720-c6f0db7a294e
textPlus;textplus.com;Android,Communities,iOS,Messaging,Mobile;Community and Lifestyle,Information Technology,Internet Services,Messaging and Telecommunications,Mobile,Platforms,Software;01a504d7-f7bd-a6a2-c55d-f3b3c0940500
Unique Servers;uniqueservers.com;Software,Video Games;Gaming,Software;01e0f24c-64df-a8b8-1bcc-ae03054c555d
AltexSoft;altexsoft.com;Consulting,Software;Software;0242b8ec-1661-eafe-b548-8f7f1d4f7060
Inner Fence;innerfence.com;Payments,Point of Sale,Software;Commerce and Shopping,Financial Services,Payments,Software;0276e007-3a6d-b2ef-430e-e2462c905317
Livestream;livestream.com;Brand Marketing,Content Creators,Hardware,Marketing,Social Media Marketing,Software,Video,Video Streaming;Content and Publishing,Hardware,Media and Entertainment,Sales and Marketing,Software,Video;027a72da-6ad5-1e9e-9d92-36d073471521
Virsto Software;virsto.com;Cloud Computing,Software,Virtualization;Hardware,Information Technology,Internet Services,Software;0307b6d0-c5dd-69d3-8695-8fa7d73a31c0
Mobiliz;mobiliz.com;Customer Service,Location Based Services,Mobile Payments,Payments;Data and Analytics,Financial Services,Internet Services,Mobile,Navigation and Mapping,Payments,Software;035beccf-04c1-b890-c2f5-c8ac76bed727
ShotPoint;databuoy.us;Intelligent Systems,Security;Artificial Intelligence,Data and Analytics,Privacy and Security,Science and Engineering;035e4b9c-a58c-25f3-cbc7-7cd18362836a
600block;600block.com;Local,Social Media;Internet Services,Media and Entertainment;03655436-80cd-7c2f-0c86-2a782552de11
M-DISC;mdisc.com;Hardware,Software;Hardware,Software;03a1c563-2929-dfb7-6486-b9a40546a35b
Innova Dynamics;innovadynamics.com;Consumer Electronics,Nanotechnology;Consumer Electronics,Hardware,Science and Engineering;03afa003-3f55-6ca6-e581-a6ef0417d0b2
BabbleStream;babblestream.com;Developer Tools,Mobile,VoIP;Information Technology,Internet Services,Messaging and Telecommunications,Mobile,Software;043f6356-2555-e44f-635a-9848e9d5fdb0
Ioxus;ioxus.com;Electronics,Industrial,Manufacturing;Consumer Electronics,Hardware,Manufacturing;044526c5-292a-c5c1-b93d-3267a4728077
Brinqa;brinqa.com;Accounting,Enterprise Software,Risk Management;Financial Services,Professional Services,Software;04564196-9329-f72a-0662-17221e9b990a
Managed Maintenance, Inc.;managedmaint.com;Contact Management,IT Management,SaaS;Information Technology,Software;04679509-a653-99df-6ae1-96df66352997
Euclid Media;euclidmedia.com;Digital Media,Information Technology,Video;Information Technology,Media and Entertainment,Video;0491b89b-f7e5-fbdc-2937-c0e416816ed3
Ohanae;ohanae.com;Cloud Computing,Cyber Security,Enterprise Software;Information Technology,Internet Services,Privacy and Security,Software;04d55d15-6d7d-a590-ac5c-37f1fdccbcbe
AWAK Technologies;awak.com;Biotechnology,Wearables;Biotechnology,Consumer Electronics,Hardware,Science and Engineering;04f76a64-5f2f-2ff1-4026-2c0822f42c50
Bridge Partners Consulting;bridgepartnersconsulting.com;Analytics,Management Consulting,Marketing;Data and Analytics,Professional Services,Sales and Marketing;051933fb-ef46-c5f5-9608-4ff5c99b4da5
WebNotes;webnotes.net;Enterprise Software,Information Services,Web Browsers;Information Technology,Internet Services,Software;051e051f-e5fa-1881-2a56-c26eb341a2a9
HoldMyTicket;holdmyticket.com;Event Management,Software,Ticketing;Events,Media and Entertainment,Software;05781363-3f12-6628-5b0a-1a50c16f61bd
